time,cpu,mem
2026-01-09 03:20:00,5838.0,235043
2026-01-09 03:25:00,5650.0,192939
2026-01-09 03:30:00,4214.0,175350
2026-01-09 03:35:00,4905.0,174310
2026-01-09 03:40:00,4418.0,173838
2026-01-09 03:45:00,7183.0,183721
2026-01-09 03:50:00,5773.0,174794
2026-01-09 03:55:00,5619.0,174229
2026-01-09 04:00:00,4713.0,187397
2026-01-09 04:05:00,4101.0,173161
2026-01-09 04:10:00,5143.0,173066
2026-01-09 04:15:00,4803.0,183592
2026-01-09 04:20:00,4816.0,174874
2026-01-09 04:25:00,4665.0,174422
2026-01-09 04:30:00,4971.0,175419
2026-01-09 04:35:00,7201.0,175885
2026-01-09 04:40:00,8278.0,176451
2026-01-09 04:45:00,7671.0,177255
2026-01-09 04:50:00,6713.0,187476
2026-01-09 04:55:00,6268.0,173566
2026-01-09 05:00:00,6058.0,188318
2026-01-09 05:05:00,6262.0,189661
2026-01-09 05:10:00,5036.0,182770
2026-01-09 05:15:00,9357.0,184232
2026-01-09 05:20:00,7457.0,187804
2026-01-09 05:25:00,10493.0,183287
2026-01-09 05:30:00,7587.0,190554
2026-01-09 05:35:00,8354.0,189337
2026-01-09 05:40:00,8205.0,220609
2026-01-09 05:45:00,9076.0,199851
2026-01-09 05:50:00,10208.0,202839
2026-01-09 05:55:00,20189.0,208221
2026-01-09 06:00:00,17179.0,220096
2026-01-09 06:05:00,16480.0,222739
2026-01-09 06:10:00,20272.0,224459
2026-01-09 06:15:00,17791.0,223610
2026-01-09 06:20:00,20022.0,229520
2026-01-09 06:25:00,6852.0,235094
2026-01-09 06:30:00,2762.0,246937
2026-01-09 06:35:00,1964.0,252667
2026-01-09 06:40:00,11615.0,258646
2026-01-09 06:45:00,2060.0,266065
2026-01-09 06:50:00,15842.0,271386
2026-01-09 06:55:00,1731.0,262120
2026-01-09 07:00:00,1847.0,281428
2026-01-09 07:05:00,1841.0,273313
2026-01-09 07:10:00,1804.0,296087
2026-01-09 07:15:00,1796.0,301654
2026-01-09 07:20:00,1858.0,299486
2026-01-09 07:25:00,1767.0,299884
2026-01-09 07:30:00,1738.0,295172
2026-01-09 07:35:00,2135.0,300726
2026-01-09 07:40:00,7815.0,296932
2026-01-09 07:45:00,2172.0,289888
2026-01-09 07:50:00,10893.0,286174
2026-01-09 07:55:00,2530.0,251703
2026-01-09 08:00:00,2649.0,298203
2026-01-09 08:05:00,2588.0,257482
2026-01-09 08:10:00,2539.0,298930
2026-01-09 08:15:00,2565.0,306340
2026-01-09 08:20:00,2592.0,298986
2026-01-09 08:25:00,2546.0,301125
2026-01-09 08:30:00,2138.0,302152
2026-01-09 08:35:00,2120.0,293191
2026-01-09 08:40:00,2060.0,294791
2026-01-09 08:45:00,15161.0,313379
2026-01-09 08:50:00,2580.0,292979
2026-01-09 08:55:00,2623.0,297520
2026-01-09 09:00:00,2608.0,289701
2026-01-09 09:05:00,10507.0,318526
2026-01-09 09:10:00,1816.0,323271
